O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,천안시갑,225883,113031,0.5004,새누리당,전용학,44897
국회의원선거,19,20120411,천안시갑,225883,113031,0.5004,민주통합당,양승조,57810
국회의원선거,19,20120411,천안시갑,225883,113031,0.5004,자유선진당,강동복,9462
국회의원선거,19,20120411,천안시을,208336,100718,0.4834,새누리당,김호연,40048
국회의원선거,19,20120411,천안시을,208336,100718,0.4834,민주통합당,박완주,41945
국회의원선거,19,20120411,천안시을,208336,100718,0.4834,자유선진당,박상돈,18075
국회의원선거,19,20120411,공주시,96333,55479,0.5759,새누리당,박종준,23919
국회의원선거,19,20120411,공주시,96333,55479,0.5759,민주통합당,박수현,26210
국회의원선거,19,20120411,공주시,96333,55479,0.5759,자유선진당,윤완중,4622
국회의원선거,19,20120411,보령시서천군,136411,77506,0.5682,새누리당,김태흠,35197
국회의원선거,19,20120411,보령시서천군,136411,77506,0.5682,민주통합당,엄승용,19184
국회의원선거,19,20120411,보령시서천군,136411,77506,0.5682,자유선진당,류근찬,20983
국회의원선거,19,20120411,보령시서천군,136411,77506,0.5682,한나라당,윤정홍,454
국회의원선거,19,20120411,아산시,208978,102081,0.4885,새누리당,이건영,23419
국회의원선거,19,20120411,아산시,208978,102081,0.4885,민주통합당,김선화,35469
국회의원선거,19,20120411,아산시,208978,102081,0.4885,자유선진당,이명수,41359
국회의원선거,19,20120411,아산시,208978,102081,0.4885,정통민주당,권현종,905
국회의원선거,19,20120411,서산시태안군,177638,94242,0.5305,새누리당,유상곤,27116
국회의원선거,19,20120411,서산시태안군,177638,94242,0.5305,민주통합당,조한기,26357
국회의원선거,19,20120411,서산시태안군,177638,94242,0.5305,자유선진당,성완종,39615
국회의원선거,19,20120411,논산시계룡시금산군,180248,95966,0.5324,새누리당,이창원,16827
국회의원선거,19,20120411,논산시계룡시금산군,180248,95966,0.5324,민주통합당,김종민,37701
국회의원선거,19,20120411,논산시계룡시금산군,180248,95966,0.5324,자유선진당,이인제,40076
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,새누리당,김근태,22886
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,민주통합당,박정현,10711
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,자유선진당,홍표근,13118
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,무소속,이진삼,3115
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,무소속,한덕희,792
국회의원선거,19,20120411,부여군청양군,89411,53220,0.5952,무소속,김기한,1933
국회의원선거,19,20120411,홍성군예산군,143715,78450,0.5459,새누리당,홍문표,39191
국회의원선거,19,20120411,홍성군예산군,143715,78450,0.5459,자유선진당,서상목,22865
국회의원선거,19,20120411,홍성군예산군,143715,78450,0.5459,통합진보당,김영호,15088
국회의원선거,19,20120411,당진시,119868,61358,0.5119,새누리당,김동완,26870
국회의원선거,19,20120411,당진시,119868,61358,0.5119,민주통합당,어기구,13391
국회의원선거,19,20120411,당진시,119868,61358,0.5119,자유선진당,김낙성,15124
국회의원선거,19,20120411,당진시,119868,61358,0.5119,통합진보당,김희봉,1989
국회의원선거,19,20120411,당진시,119868,61358,0.5119,기독당,김창기,236
국회의원선거,19,20120411,당진시,119868,61358,0.5119,정통민주당,김건,1782
국회의원선거,19,20120411,당진시,119868,61358,0.5119,진보신당,손창원,867
국회의원선거,19,20120411,당진시,119868,61358,0.5119,무소속,박찬일,520
