O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,새누리당,김희국,58425
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,민주통합당,김동열,8829
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,자유선진당,조병기,927
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,창조한국당,김태훈,781
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,무소속,이재용,27448
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,무소속,박영준,5809
국회의원선거,19,20120411,중구남구,207975,104232,0.5012,무소속,김상인,508
국회의원선거,19,20120411,동구갑,114934,60225,0.524,새누리당,유성걸,36342
국회의원선거,19,20120411,동구갑,114934,60225,0.524,민주통합당,임대윤,14142
국회의원선거,19,20120411,동구갑,114934,60225,0.524,친박연합,오세호,2727
국회의원선거,19,20120411,동구갑,114934,60225,0.524,국민행복당,전창국,217
국회의원선거,19,20120411,동구갑,114934,60225,0.524,무소속,오태동,6313
국회의원선거,19,20120411,동구을,163152,86157,0.5281,새누리당,유승민,57556
국회의원선거,19,20120411,동구을,163152,86157,0.5281,민주통합당,이승천,14722
국회의원선거,19,20120411,동구을,163152,86157,0.5281,친박연합,김종기,2046
국회의원선거,19,20120411,동구을,163152,86157,0.5281,국민행복당,박명호,473
국회의원선거,19,20120411,동구을,163152,86157,0.5281,무소속,최종탁,9131
국회의원선거,19,20120411,동구을,163152,86157,0.5281,무소속,구형근,1459
국회의원선거,19,20120411,서구,185732,91074,0.4904,새누리당,김상훈,54113
국회의원선거,19,20120411,서구,185732,91074,0.4904,민주통합당,윤선진,9077
국회의원선거,19,20120411,서구,185732,91074,0.4904,자유선진당,정재현,658
국회의원선거,19,20120411,서구,185732,91074,0.4904,미래연합,박재술,976
국회의원선거,19,20120411,서구,185732,91074,0.4904,무소속,서중현,18821
국회의원선거,19,20120411,서구,185732,91074,0.4904,무소속,박성철,1533
국회의원선거,19,20120411,서구,185732,91074,0.4904,무소속,백승정,5048
국회의원선거,19,20120411,북구갑,121767,65345,0.5366,새누리당,권은희,37201
국회의원선거,19,20120411,북구갑,121767,65345,0.5366,민주통합당,김용락,10113
국회의원선거,19,20120411,북구갑,121767,65345,0.5366,무소속,양명모,11772
국회의원선거,19,20120411,북구갑,121767,65345,0.5366,무소속,구본항,2758
국회의원선거,19,20120411,북구을,224567,114588,0.5103,새누리당,서상기,66595
국회의원선거,19,20120411,북구을,224567,114588,0.5103,통합진보당,조명래,27476
국회의원선거,19,20120411,북구을,224567,114588,0.5103,국민생각,이찬진,2445
국회의원선거,19,20120411,북구을,224567,114588,0.5103,무소속,김충환,17182
국회의원선거,19,20120411,수성구갑,198232,115362,0.582,새누리당,이한구,60588
국회의원선거,19,20120411,수성구갑,198232,115362,0.582,민주통합당,김부겸,46413
국회의원선거,19,20120411,수성구갑,198232,115362,0.582,진보신당,이연재,3838
국회의원선거,19,20120411,수성구갑,198232,115362,0.582,무소속,김경동,2625
국회의원선거,19,20120411,수성구갑,198232,115362,0.582,무소속,정재웅,1349
국회의원선거,19,20120411,수성구을,153779,79944,0.5199,새누리당,주호영,50953
국회의원선거,19,20120411,수성구을,153779,79944,0.5199,민주통합당,남칠우,18977
국회의원선거,19,20120411,수성구을,153779,79944,0.5199,자유선진당,이원기,1356
국회의원선거,19,20120411,수성구을,153779,79944,0.5199,무소속,정기조,8043
국회의원선거,19,20120411,달서구갑,146281,77382,0.529,새누리당,홍지만,43570
국회의원선거,19,20120411,달서구갑,146281,77382,0.529,민주통합당,김준곤,15460
국회의원선거,19,20120411,달서구갑,146281,77382,0.529,자유선진당,김동국,1045
국회의원선거,19,20120411,달서구갑,146281,77382,0.529,무소속,도이환,16694
국회의원선거,19,20120411,달서구을,184682,100291,0.543,새누리당,윤재옥,61563
국회의원선거,19,20120411,달서구을,184682,100291,0.543,자유선진당,김원이,3204
국회의원선거,19,20120411,달서구을,184682,100291,0.543,통합진보당,이원준,18809
국회의원선거,19,20120411,달서구을,184682,100291,0.543,무소속,서영득,9405
국회의원선거,19,20120411,달서구을,184682,100291,0.543,무소속,김부기,6514
국회의원선거,19,20120411,달서구병,138046,67511,0.489,새누리당,조원진,49842
국회의원선거,19,20120411,달서구병,138046,67511,0.489,민주통합당,김철용,16812
국회의원선거,19,20120411,달성군,139824,73193,0.5235,새누리당,이종진,40276
국회의원선거,19,20120411,달성군,139824,73193,0.5235,민주통합당,김진향,15246
국회의원선거,19,20120411,달성군,139824,73193,0.5235,무소속,구성재,16869
