O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,춘천시,214735,120966,0.5633,새누리당,김진태,58629
국회의원선거,19,20120411,춘천시,214735,120966,0.5633,민주통합당,안봉진,53325
국회의원선거,19,20120411,춘천시,214735,120966,0.5633,무소속,허천,6967
국회의원선거,19,20120411,원주시갑,124479,61644,0.4952,새누리당,김기선,31413
국회의원선거,19,20120411,원주시갑,124479,61644,0.4952,민주통합당,김진희,26566
국회의원선거,19,20120411,원주시갑,124479,61644,0.4952,국민생각,김대천,3092
국회의원선거,19,20120411,원주시을,123842,63598,0.5135,새누리당,이강후,30761
국회의원선거,19,20120411,원주시을,123842,63598,0.5135,민주통합당,송기헌,29179
국회의원선거,19,20120411,원주시을,123842,63598,0.5135,무소속,이재현,3184
국회의원선거,19,20120411,강릉시,173579,95494,0.5501,새누리당,권성동,57433
국회의원선거,19,20120411,강릉시,173579,95494,0.5501,민주통합당,송영철,37051
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,새누리당,이이재,33845
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,통합진보당,박응천,6580
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,기독당,이용석,485
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,무소속,최연희,21171
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,무소속,이화영,7804
국회의원선거,19,20120411,동해시삼척시,134751,76408,0.567,무소속,김형순,5605
국회의원선거,19,20120411,속초시고성군양양군,115080,65195,0.5665,새누리당,정문헌,31447
국회의원선거,19,20120411,속초시고성군양양군,115080,65195,0.5665,민주통합당,송훈석,22964
국회의원선거,19,20120411,속초시고성군양양군,115080,65195,0.5665,무소속,강주덕,874
국회의원선거,19,20120411,속초시고성군양양군,115080,65195,0.5665,무소속,손문영,8577
국회의원선거,19,20120411,속초시고성군양양군,115080,65195,0.5665,무소속,황정기,681
국회의원선거,19,20120411,홍천군횡성군,94128,58550,0.622,새누리당,황영철,29942
국회의원선거,19,20120411,홍천군횡성군,94128,58550,0.622,민주통합당,조일현,27856
국회의원선거,19,20120411,태백시영월군평창군정선군,144410,83048,0.5751,새누리당,염동열,46537
국회의원선거,19,20120411,태백시영월군평창군정선군,144410,83048,0.5751,민주통합당,김원창,32881
국회의원선거,19,20120411,태백시영월군평창군정선군,144410,83048,0.5751,자유선진당,류승규,2776
국회의원선거,19,20120411,철원군화천군양구군인제군,102474,58880,0.5746,새누리당,한기호,36612
국회의원선거,19,20120411,철원군화천군양구군인제군,102474,58880,0.5746,민주통합당,정태수,21282
