O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,목포시,185469,90416,0.4875,민주통합당,박지원,63705
국회의원선거,19,20120411,목포시,185469,90416,0.4875,통합진보당,윤소하,14587
국회의원선거,19,20120411,목포시,185469,90416,0.4875,민주통일당,정일용,524
국회의원선거,19,20120411,목포시,185469,90416,0.4875,무소속,배종호,10685
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,새누리당,김중대,2244
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,민주통합당,김성곤,23519
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,통합진보당,강용주,6577
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,창조한국당,한성무,1927
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,무소속,김철주,9977
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,무소속,박종수,4955
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,무소속,김충조,3136
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,무소속,이광진,1556
국회의원선거,19,20120411,여수시갑,107640,55394,0.5146,무소속,김동진,670
국회의원선거,19,20120411,여수시을,121718,64032,0.5261,새누리당,유영남,3684
국회의원선거,19,20120411,여수시을,121718,64032,0.5261,민주통합당,주승용,44313
국회의원선거,19,20120411,여수시을,121718,64032,0.5261,무소속,박종옥,10912
국회의원선거,19,20120411,여수시을,121718,64032,0.5261,무소속,김성훈,3941
국회의원선거,19,20120411,순천시곡성군,232783,143471,0.6163,새누리당,정채하,4209
국회의원선거,19,20120411,순천시곡성군,232783,143471,0.6163,민주통합당,노관규,57447
국회의원선거,19,20120411,순천시곡성군,232783,143471,0.6163,통합진보당,김선동,79774
국회의원선거,19,20120411,나주시화순군,128755,79484,0.6173,새누리당,문종안,2558
국회의원선거,19,20120411,나주시화순군,128755,79484,0.6173,민주통합당,배기운,39887
국회의원선거,19,20120411,나주시화순군,128755,79484,0.6173,무소속,최인기,33188
국회의원선거,19,20120411,광양시구례군,135177,75338,0.5573,민주통합당,우윤근,39394
국회의원선거,19,20120411,광양시구례군,135177,75338,0.5573,통합진보당,유현주,24124
국회의원선거,19,20120411,광양시구례군,135177,75338,0.5573,무소속,신홍섭,6043
국회의원선거,19,20120411,광양시구례군,135177,75338,0.5573,무소속,김현옥,4757
국회의원선거,19,20120411,담양군함평군영광군장성군,156272,84227,0.539,새누리당,이상선,8077
국회의원선거,19,20120411,담양군함평군영광군장성군,156272,84227,0.539,민주통합당,이낙연,63887
국회의원선거,19,20120411,담양군함평군영광군장성군,156272,84227,0.539,통합진보당,김동주,10654
국회의원선거,19,20120411,고흥군보성군,102904,64027,0.6222,새누리당,장귀석,3368
국회의원선거,19,20120411,고흥군보성군,102904,64027,0.6222,민주통합당,김승남,32336
국회의원선거,19,20120411,고흥군보성군,102904,64027,0.6222,무소속,김철근,5977
국회의원선거,19,20120411,고흥군보성군,102904,64027,0.6222,무소속,신중식,15871
국회의원선거,19,20120411,고흥군보성군,102904,64027,0.6222,무소속,김범태,5022
국회의원선거,19,20120411,장흥군강진군영암군,116844,68685,0.5878,새누리당,전평진,2777
국회의원선거,19,20120411,장흥군강진군영암군,116844,68685,0.5878,민주통합당,황주홍,34837
국회의원선거,19,20120411,장흥군강진군영암군,116844,68685,0.5878,통합진보당,박형기,12840
국회의원선거,19,20120411,장흥군강진군영암군,116844,68685,0.5878,무소속,유인학,15348
국회의원선거,19,20120411,장흥군강진군영암군,116844,68685,0.5878,무소속,김태형,1357
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,새누리당,명욱재,2434
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,민주통합당,김영록,44085
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,무소속,윤재갑,16415
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,무소속,김홍철,2772
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,무소속,이영호,8827
국회의원선거,19,20120411,해남군완도군진도군,138363,80231,0.5799,무소속,민병록,4129
국회의원선거,19,20120411,무안군신안군,99128,60149,0.6068,민주통합당,이윤석,37477
국회의원선거,19,20120411,무안군신안군,99128,60149,0.6068,무소속,한화갑,20729
