O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,제주시갑,173315,97822,0.5644,새누리당,현경대,37878
국회의원선거,19,20120411,제주시갑,173315,97822,0.5644,민주통합당,강창일,42006
국회의원선거,19,20120411,제주시갑,173315,97822,0.5644,무소속,장동훈,13527
국회의원선거,19,20120411,제주시갑,173315,97822,0.5644,무소속,고동수,3488
국회의원선거,19,20120411,제주시을,147060,69742,0.4742,민주통합당,김우남,46236
국회의원선거,19,20120411,제주시을,147060,69742,0.4742,자유선진당,강정희,11856
국회의원선거,19,20120411,제주시을,147060,69742,0.4742,진보신당,전우홍,8056
국회의원선거,19,20120411,서귀포시,121095,73603,0.6078,새누리당,강지용,22728
국회의원선거,19,20120411,서귀포시,121095,73603,0.6078,민주통합당,김재윤,26992
국회의원선거,19,20120411,서귀포시,121095,73603,0.6078,무소속,문대림,23025
