O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,동구,89255,49239,0.5517,자유선진당,구봉우,518
국회의원선거,19,20120411,동구,89255,49239,0.5517,통합진보당,김관희,5039
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,양형일,14916
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,이병훈,9177
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,박현,1717
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,박동수,647
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,박주선,15372
국회의원선거,19,20120411,동구,89255,49239,0.5517,무소속,김강열,1329
국회의원선거,19,20120411,서구갑,117703,63402,0.5387,새누리당,성용재,1592
국회의원선거,19,20120411,서구갑,117703,63402,0.5387,민주통합당,박혜자,25598
국회의원선거,19,20120411,서구갑,117703,63402,0.5387,무소속,송갑석,10177
국회의원선거,19,20120411,서구갑,117703,63402,0.5387,무소속,조영택,11281
국회의원선거,19,20120411,서구갑,117703,63402,0.5387,무소속,정용화,12134
국회의원선거,19,20120411,서구을,121395,72271,0.5953,새누리당,이정현,28314
국회의원선거,19,20120411,서구을,121395,72271,0.5953,통합진보당,오병윤,37344
국회의원선거,19,20120411,서구을,121395,72271,0.5953,정통민주당,이점자,1669
국회의원선거,19,20120411,서구을,121395,72271,0.5953,무소속,정남준,3985
국회의원선거,19,20120411,남구,170963,87513,0.5119,민주통합당,장병완,58680
국회의원선거,19,20120411,남구,170963,87513,0.5119,통합진보당,이민원,18771
국회의원선거,19,20120411,남구,170963,87513,0.5119,무소속,강도석,9075
국회의원선거,19,20120411,북구갑,130943,66046,0.5044,민주통합당,강기정,37718
국회의원선거,19,20120411,북구갑,130943,66046,0.5044,통합진보당,이채언,7314
국회의원선거,19,20120411,북구갑,130943,66046,0.5044,정통민주당,이관행,1289
국회의원선거,19,20120411,북구갑,130943,66046,0.5044,무소속,김경진,19027
국회의원선거,19,20120411,북구을,211323,110530,0.523,민주통합당,임내현,66779
국회의원선거,19,20120411,북구을,211323,110530,0.523,통합진보당,윤민호,20200
국회의원선거,19,20120411,북구을,211323,110530,0.523,진보신당,안영돈,2139
국회의원선거,19,20120411,북구을,211323,110530,0.523,무소속,김재균,20312
국회의원선거,19,20120411,광산구갑,126586,63097,0.4985,민주통합당,김동철,42608
국회의원선거,19,20120411,광산구갑,126586,63097,0.4985,통합진보당,장원섭,17007
국회의원선거,19,20120411,광산구갑,126586,63097,0.4985,무소속,김영성,2687
국회의원선거,19,20120411,광산구을,140667,71998,0.5118,민주통합당,이용섭,53154
국회의원선거,19,20120411,광산구을,140667,71998,0.5118,통합진보당,황차은,18022
