O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,중구동구옹진군,156238,82936,0.5308,새누리당,박상은,42995
국회의원선거,19,20120411,중구동구옹진군,156238,82936,0.5308,민주통합당,한광원,38755
국회의원선거,19,20120411,남구갑,166471,78459,0.4713,새누리당,홍일표,40195
국회의원선거,19,20120411,남구갑,166471,78459,0.4713,통합진보당,김성진,33501
국회의원선거,19,20120411,남구갑,166471,78459,0.4713,무소속,이형호,3946
국회의원선거,19,20120411,남구을,173594,87990,0.5069,새누리당,윤상현,50514
국회의원선거,19,20120411,남구을,173594,87990,0.5069,민주통합당,안귀옥,36619
국회의원선거,19,20120411,연수구,221240,119930,0.5421,새누리당,황우여,63341
국회의원선거,19,20120411,연수구,221240,119930,0.5421,민주통합당,이철기,48928
국회의원선거,19,20120411,연수구,221240,119930,0.5421,자유선진당,윤형모,4492
국회의원선거,19,20120411,연수구,221240,119930,0.5421,진보신당,이근선,2553
국회의원선거,19,20120411,남동구갑,235836,120723,0.5119,새누리당,윤태진,46152
국회의원선거,19,20120411,남동구갑,235836,120723,0.5119,민주통합당,박남춘,56283
국회의원선거,19,20120411,남동구갑,235836,120723,0.5119,무소속,성하현,2688
국회의원선거,19,20120411,남동구갑,235836,120723,0.5119,무소속,이윤성,14687
국회의원선거,19,20120411,남동구을,151509,77368,0.5106,새누리당,김석진,31339
국회의원선거,19,20120411,남동구을,151509,77368,0.5106,민주통합당,윤관석,33701
국회의원선거,19,20120411,남동구을,151509,77368,0.5106,국민생각,이원복,8513
국회의원선거,19,20120411,남동구을,151509,77368,0.5106,무소속,신맹순,3212
국회의원선거,19,20120411,부평구갑,224469,109456,0.4876,새누리당,정유섭,48594
국회의원선거,19,20120411,부평구갑,224469,109456,0.4876,민주통합당,문병호,54889
국회의원선거,19,20120411,부평구갑,224469,109456,0.4876,자유선진당,이수일,1432
국회의원선거,19,20120411,부평구갑,224469,109456,0.4876,정통민주당,김종구,825
국회의원선거,19,20120411,부평구갑,224469,109456,0.4876,무소속,임낙윤,2888
국회의원선거,19,20120411,부평구을,219271,115092,0.5249,새누리당,김연광,47071
국회의원선거,19,20120411,부평구을,219271,115092,0.5249,민주통합당,홍영표,63099
국회의원선거,19,20120411,부평구을,219271,115092,0.5249,자유선진당,이근호,4066
국회의원선거,19,20120411,계양구갑,129551,65092,0.5024,새누리당,조갑진,23192
국회의원선거,19,20120411,계양구갑,129551,65092,0.5024,민주통합당,신학용,39752
국회의원선거,19,20120411,계양구갑,129551,65092,0.5024,정통민주당,박선희,1691
국회의원선거,19,20120411,계양구을,137257,68161,0.4966,새누리당,이상권,29568
국회의원선거,19,20120411,계양구을,137257,68161,0.4966,민주통합당,최원식,38045
국회의원선거,19,20120411,서구강화군갑,236911,122919,0.5188,새누리당,이학재,64202
국회의원선거,19,20120411,서구강화군갑,236911,122919,0.5188,민주통합당,김교흥,57724
국회의원선거,19,20120411,서구강화군을,154994,86239,0.5564,새누리당,안덕수,43970
국회의원선거,19,20120411,서구강화군을,154994,86239,0.5564,민주통합당,신동근,35139
국회의원선거,19,20120411,서구강화군을,154994,86239,0.5564,자유선진당,민우홍,3341
국회의원선거,19,20120411,서구강화군을,154994,86239,0.5564,무소속,장석종,2929
