O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,수원시갑,223614,123187,0.5509,새누리당,김용남,53257
국회의원선거,19,20120411,수원시갑,223614,123187,0.5509,민주통합당,이찬열,63192
국회의원선거,19,20120411,수원시갑,223614,123187,0.5509,무소속,이면구,2288
국회의원선거,19,20120411,수원시갑,223614,123187,0.5509,무소속,홍원식,3668
국회의원선거,19,20120411,수원시을,220234,112748,0.5119,새누리당,배은희,37230
국회의원선거,19,20120411,수원시을,220234,112748,0.5119,민주통합당,신장용,45400
국회의원선거,19,20120411,수원시을,220234,112748,0.5119,정통민주당,유근만,910
국회의원선거,19,20120411,수원시을,220234,112748,0.5119,무소속,이종근,1845
국회의원선거,19,20120411,수원시을,220234,112748,0.5119,무소속,정미경,26629
국회의원선거,19,20120411,수원시병,201586,100038,0.4963,새누리당,남경필,50011
국회의원선거,19,20120411,수원시병,201586,100038,0.4963,민주통합당,김영진,44844
국회의원선거,19,20120411,수원시병,201586,100038,0.4963,무소속,이중화,4480
국회의원선거,19,20120411,수원시정,199491,113144,0.5672,새누리당,임종훈,43599
국회의원선거,19,20120411,수원시정,199491,113144,0.5672,민주통합당,김진표,68274
국회의원선거,19,20120411,성남시수정구,193297,94127,0.487,새누리당,신영수,37569
국회의원선거,19,20120411,성남시수정구,193297,94127,0.487,민주통합당,김태년,51142
국회의원선거,19,20120411,성남시수정구,193297,94127,0.487,국민행복당,최상면,801
국회의원선거,19,20120411,성남시수정구,193297,94127,0.487,정통민주당,전석원,3870
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,새누리당,신상진,45408
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,통합진보당,김미희,46062
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,국민행복당,김기평,1039
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,정통민주당,이대의,2764
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,무소속,윤용호,1036
국회의원선거,19,20120411,성남시중원구,206897,100304,0.4848,무소속,정형만,2159
국회의원선거,19,20120411,성남시분당구갑,211614,128905,0.6092,새누리당,이종훈,66028
국회의원선거,19,20120411,성남시분당구갑,211614,128905,0.6092,민주통합당,김창호,56133
국회의원선거,19,20120411,성남시분당구갑,211614,128905,0.6092,자유선진당,홍관희,1916
국회의원선거,19,20120411,성남시분당구갑,211614,128905,0.6092,무소속,김도균,4239
국회의원선거,19,20120411,성남시분당구을,166604,100032,0.6004,새누리당,전하진,52362
국회의원선거,19,20120411,성남시분당구을,166604,100032,0.6004,민주통합당,김병욱,42938
국회의원선거,19,20120411,성남시분당구을,166604,100032,0.6004,미래연합,김종우,782
국회의원선거,19,20120411,성남시분당구을,166604,100032,0.6004,무소속,한창구,3480
