O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,중구동구,127836,65984,0.5162,새누리당,정의화,31484
국회의원선거,19,20120411,중구동구,127836,65984,0.5162,민주통합당,이해성,25641
국회의원선거,19,20120411,중구동구,127836,65984,0.5162,무소속,문창무,4694
국회의원선거,19,20120411,중구동구,127836,65984,0.5162,무소속,박성민,2462
국회의원선거,19,20120411,중구동구,127836,65984,0.5162,무소속,박희동,1119
국회의원선거,19,20120411,서구,104858,52464,0.5003,새누리당,유기준,28584
국회의원선거,19,20120411,서구,104858,52464,0.5003,민주통합당,이재강,15254
국회의원선거,19,20120411,서구,104858,52464,0.5003,무소속,정오규,8066
국회의원선거,19,20120411,영도구,120682,63919,0.5296,새누리당,이재균,27597
국회의원선거,19,20120411,영도구,120682,63919,0.5296,통합진보당,민병렬,23718
국회의원선거,19,20120411,영도구,120682,63919,0.5296,진보신당,김영희,1733
국회의원선거,19,20120411,영도구,120682,63919,0.5296,무소속,이영,9951
국회의원선거,19,20120411,부산진구갑,169426,96569,0.57,새누리당,나성린,37836
국회의원선거,19,20120411,부산진구갑,169426,96569,0.57,민주통합당,김영춘,34238
국회의원선거,19,20120411,부산진구갑,169426,96569,0.57,무소속,정근,23658
국회의원선거,19,20120411,부산진구을,159285,84117,0.5281,새누리당,이헌승,44321
국회의원선거,19,20120411,부산진구을,159285,84117,0.5281,민주통합당,김정길,33786
국회의원선거,19,20120411,부산진구을,159285,84117,0.5281,무소속,차재원,3670
국회의원선거,19,20120411,부산진구을,159285,84117,0.5281,무소속,김종윤,1544
국회의원선거,19,20120411,동래구,230082,125432,0.5452,새누리당,이진복,66548
국회의원선거,19,20120411,동래구,230082,125432,0.5452,민주통합당,노재철,41231
국회의원선거,19,20120411,동래구,230082,125432,0.5452,진보신당,박재완,2250
국회의원선거,19,20120411,동래구,230082,125432,0.5452,무소속,최찬기,10657
국회의원선거,19,20120411,동래구,230082,125432,0.5452,무소속,김칠두,3866
국회의원선거,19,20120411,남구갑,121843,64365,0.5283,새누리당,김정훈,33764
국회의원선거,19,20120411,남구갑,121843,64365,0.5283,민주통합당,이정환,23932
국회의원선거,19,20120411,남구갑,121843,64365,0.5283,무소속,김병원,4320
국회의원선거,19,20120411,남구갑,121843,64365,0.5283,무소속,장재완,1814
국회의원선거,19,20120411,남구을,119420,67813,0.5679,새누리당,서용교,33256
국회의원선거,19,20120411,남구을,119420,67813,0.5679,민주통합당,박재호,27919
국회의원선거,19,20120411,남구을,119420,67813,0.5679,무소속,이영근,2873
국회의원선거,19,20120411,남구을,119420,67813,0.5679,무소속,유정기,1323
국회의원선거,19,20120411,남구을,119420,67813,0.5679,무소속,성성경,1964
국회의원선거,19,20120411,북구강서구갑,135354,74375,0.5495,새누리당,박민식,38601
국회의원선거,19,20120411,북구강서구갑,135354,74375,0.5495,민주통합당,전재수,35069
국회의원선거,19,20120411,북구강서구을,164464,100184,0.6092,새누리당,김도읍,52837
국회의원선거,19,20120411,북구강서구을,164464,100184,0.6092,민주통합당,문성근,44972
국회의원선거,19,20120411,북구강서구을,164464,100184,0.6092,자유선진당,조영환,798
국회의원선거,19,20120411,북구강서구을,164464,100184,0.6092,국민생각,김선곤,393
국회의원선거,19,20120411,북구강서구을,164464,100184,0.6092,국민행복당,김재흥,585
국회의원선거,19,20120411,해운대구기장군을,180119,96945,0.5382,새누리당,하태경,42426
국회의원선거,19,20120411,해운대구기장군을,180119,96945,0.5382,민주통합당,유창열,30012
국회의원선거,19,20120411,해운대구기장군을,180119,96945,0.5382,녹색당,구자상,2543
국회의원선거,19,20120411,해운대구기장군을,180119,96945,0.5382,무소속,최현돌,19628
국회의원선거,19,20120411,사하구갑,125927,67959,0.5397,새누리당,문대성,30455
국회의원선거,19,20120411,사하구갑,125927,67959,0.5397,민주통합당,최인호,28075
국회의원선거,19,20120411,사하구갑,125927,67959,0.5397,청년당,박주찬,1500
국회의원선거,19,20120411,사하구갑,125927,67959,0.5397,무소속,엄호성,7434
국회의원선거,19,20120411,사하구을,160255,86469,0.5396,새누리당,안준태,35806
국회의원선거,19,20120411,사하구을,160255,86469,0.5396,민주통합당,조경태,49849
국회의원선거,19,20120411,금정구,210332,112975,0.5371,새누리당,김세연,74103
국회의원선거,19,20120411,금정구,210332,112975,0.5371,민주통합당,장향숙,37743
국회의원선거,19,20120411,연제구,174641,98556,0.5643,새누리당,김희정,47935
국회의원선거,19,20120411,연제구,174641,98556,0.5643,민주통합당,김인회,30131
국회의원선거,19,20120411,연제구,174641,98556,0.5643,국민생각,윤대혁,1610
국회의원선거,19,20120411,연제구,174641,98556,0.5643,무소속,최제완,18168
국회의원선거,19,20120411,수영구,148000,83818,0.5663,새누리당,유재중,37701
국회의원선거,19,20120411,수영구,148000,83818,0.5663,민주통합당,허진호,20448
국회의원선거,19,20120411,수영구,148000,83818,0.5663,국민생각,선다윗,441
국회의원선거,19,20120411,수영구,148000,83818,0.5663,무소속,박형준,24630
국회의원선거,19,20120411,사상구,208214,119555,0.5742,새누리당,손수조,51936
국회의원선거,19,20120411,사상구,208214,119555,0.5742,민주통합당,문재인,65336
국회의원선거,19,20120411,사상구,208214,119555,0.5742,국민생각,나경수,749
국회의원선거,19,20120411,사상구,208214,119555,0.5742,정통민주당,손현경,668
