O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,창원시의창구,198292,108586,0.5476,새누리당,박성호,58140
국회의원선거,19,20120411,창원시의창구,198292,108586,0.5476,통합진보당,문성현,49273
국회의원선거,19,20120411,창원시성산구,185166,107921,0.5828,새누리당,강기윤,52502
국회의원선거,19,20120411,창원시성산구,185166,107921,0.5828,통합진보당,손석형,46924
국회의원선거,19,20120411,창원시성산구,185166,107921,0.5828,진보신당,김창근,7630
국회의원선거,19,20120411,창원시마산합포구,152542,83932,0.5502,새누리당,이주영,57035
국회의원선거,19,20120411,창원시마산합포구,152542,83932,0.5502,민주통합당,김성진,25829
국회의원선거,19,20120411,창원시마산회원구,175977,99967,0.5681,새누리당,안홍준,53382
국회의원선거,19,20120411,창원시마산회원구,175977,99967,0.5681,민주통합당,하귀남,38118
국회의원선거,19,20120411,창원시마산회원구,175977,99967,0.5681,무소속,백상원,7621
국회의원선거,19,20120411,창원시진해구,137210,77776,0.5668,새누리당,김성찬,40304
국회의원선거,19,20120411,창원시진해구,137210,77776,0.5668,무소속,김병로,24236
국회의원선거,19,20120411,창원시진해구,137210,77776,0.5668,무소속,임재범,2231
국회의원선거,19,20120411,창원시진해구,137210,77776,0.5668,무소속,최충웅,1467
국회의원선거,19,20120411,창원시진해구,137210,77776,0.5668,무소속,주정우,486
국회의원선거,19,20120411,진주시갑,131559,81401,0.6187,새누리당,박대출,31463
국회의원선거,19,20120411,진주시갑,131559,81401,0.6187,민주통합당,정영훈,18361
국회의원선거,19,20120411,진주시갑,131559,81401,0.6187,무소속,윤용근,6588
국회의원선거,19,20120411,진주시갑,131559,81401,0.6187,무소속,권철현,1852
국회의원선거,19,20120411,진주시갑,131559,81401,0.6187,무소속,최구식,22215
국회의원선거,19,20120411,진주시을,130206,76417,0.5869,새누리당,김재경,38765
국회의원선거,19,20120411,진주시을,130206,76417,0.5869,무소속,최성원,1147
국회의원선거,19,20120411,진주시을,130206,76417,0.5869,무소속,강갑중,31608
국회의원선거,19,20120411,통영시고성군,158596,83743,0.528,새누리당,이군현,50625
국회의원선거,19,20120411,통영시고성군,158596,83743,0.528,민주통합당,홍순우,15017
국회의원선거,19,20120411,통영시고성군,158596,83743,0.528,국민행복당,최삼안,2203
국회의원선거,19,20120411,통영시고성군,158596,83743,0.528,무소속,진의장,14546
국회의원선거,19,20120411,사천시남해군하동군,177850,117216,0.6591,새누리당,여상규,57840
국회의원선거,19,20120411,사천시남해군하동군,177850,117216,0.6591,자유선진당,김일수,1227
국회의원선거,19,20120411,사천시남해군하동군,177850,117216,0.6591,통합진보당,강기갑,27653
국회의원선거,19,20120411,사천시남해군하동군,177850,117216,0.6591,무소속,이방호,28251
국회의원선거,19,20120411,김해시갑,160550,86297,0.5375,새누리당,김정권,40369
국회의원선거,19,20120411,김해시갑,160550,86297,0.5375,민주통합당,민홍철,41358
국회의원선거,19,20120411,김해시갑,160550,86297,0.5375,무소속,김문희,3839
국회의원선거,19,20120411,김해시을,215683,122225,0.5667,새누리당,김태호,63290
국회의원선거,19,20120411,김해시을,215683,122225,0.5667,민주통합당,김경수,58157
국회의원선거,19,20120411,밀양시창녕군,144175,81083,0.5624,새누리당,조해진,42041
국회의원선거,19,20120411,밀양시창녕군,144175,81083,0.5624,민주통합당,조현제,17684
국회의원선거,19,20120411,밀양시창녕군,144175,81083,0.5624,무소속,박성표,17354
국회의원선거,19,20120411,밀양시창녕군,144175,81083,0.5624,무소속,최원식,2517
국회의원선거,19,20120411,거제시,173445,93390,0.5384,새누리당,진성진,29281
국회의원선거,19,20120411,거제시,173445,93390,0.5384,진보신당,김한주,30457
국회의원선거,19,20120411,거제시,173445,93390,0.5384,무소속,김한표,32647
국회의원선거,19,20120411,양산시,204259,109724,0.5372,새누리당,윤영석,56808
국회의원선거,19,20120411,양산시,204259,109724,0.5372,민주통합당,송인배,51809
국회의원선거,19,20120411,의령군함안군합천군,123427,74608,0.6045,새누리당,조현룡,39614
국회의원선거,19,20120411,의령군함안군합천군,123427,74608,0.6045,통합진보당,박민웅,16334
국회의원선거,19,20120411,의령군함안군합천군,123427,74608,0.6045,무소속,강삼재,16760
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,새누리당,신성범,33158
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,통합진보당,권문상,11814
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,무소속,구상식,592
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,무소속,김창호,3911
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,무소속,정막선,698
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,무소속,김종덕,980
국회의원선거,19,20120411,산청군함양군거창군,116370,73336,0.6302,무소속,강석진,20585
