O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,전주시완산구갑,123921,63629,0.5135,새누리당,최범서,5552
국회의원선거,19,20120411,전주시완산구갑,123921,63629,0.5135,민주통합당,김윤덕,32847
국회의원선거,19,20120411,전주시완산구갑,123921,63629,0.5135,진보신당,염경석,5530
국회의원선거,19,20120411,전주시완산구갑,123921,63629,0.5135,무소속,김광삼,8905
국회의원선거,19,20120411,전주시완산구갑,123921,63629,0.5135,무소속,신건,10225
국회의원선거,19,20120411,전주시완산구을,152268,85491,0.5615,새누리당,정운천,30406
국회의원선거,19,20120411,전주시완산구을,152268,85491,0.5615,민주통합당,이상직,39892
국회의원선거,19,20120411,전주시완산구을,152268,85491,0.5615,통합진보당,이광철,14638
국회의원선거,19,20120411,전주시덕진구,216031,105152,0.4867,민주통합당,김성주,64744
국회의원선거,19,20120411,전주시덕진구,216031,105152,0.4867,자유선진당,백병찬,3517
국회의원선거,19,20120411,전주시덕진구,216031,105152,0.4867,통합진보당,방용승,22680
국회의원선거,19,20120411,전주시덕진구,216031,105152,0.4867,무소속,임거진,6028
국회의원선거,19,20120411,전주시덕진구,216031,105152,0.4867,무소속,김태식,6581
국회의원선거,19,20120411,군산시,216546,102170,0.4718,민주통합당,김관영,60342
국회의원선거,19,20120411,군산시,216546,102170,0.4718,통합진보당,박상준,11367
국회의원선거,19,20120411,군산시,216546,102170,0.4718,무소속,신영대,16839
국회의원선거,19,20120411,군산시,216546,102170,0.4718,무소속,채용묵,11945
국회의원선거,19,20120411,익산시갑,113407,54480,0.4804,새누리당,김경안,8674
국회의원선거,19,20120411,익산시갑,113407,54480,0.4804,민주통합당,이춘석,41941
국회의원선거,19,20120411,익산시갑,113407,54480,0.4804,무소속,황세연,3169
국회의원선거,19,20120411,익산시을,127430,66615,0.5228,새누리당,김주성,3972
국회의원선거,19,20120411,익산시을,127430,66615,0.5228,민주통합당,전정희,25797
국회의원선거,19,20120411,익산시을,127430,66615,0.5228,통합진보당,정병욱,7372
국회의원선거,19,20120411,익산시을,127430,66615,0.5228,무소속,박경철,9620
국회의원선거,19,20120411,익산시을,127430,66615,0.5228,무소속,조배숙,18511
국회의원선거,19,20120411,정읍시,96846,59846,0.618,새누리당,김항술,1472
국회의원선거,19,20120411,정읍시,96846,59846,0.618,민주통합당,장기철,20552
국회의원선거,19,20120411,정읍시,96846,59846,0.618,자유선진당,김정기,517
국회의원선거,19,20120411,정읍시,96846,59846,0.618,무소속,유성엽,28810
국회의원선거,19,20120411,정읍시,96846,59846,0.618,무소속,강광,6850
국회의원선거,19,20120411,정읍시,96846,59846,0.618,무소속,나종윤,911
국회의원선거,19,20120411,남원시순창군,94605,58483,0.6182,새누리당,김태구,2457
국회의원선거,19,20120411,남원시순창군,94605,58483,0.6182,민주통합당,이강래,24268
국회의원선거,19,20120411,남원시순창군,94605,58483,0.6182,통합진보당,강동원,28007
국회의원선거,19,20120411,남원시순창군,94605,58483,0.6182,무소속,김재성,2005
국회의원선거,19,20120411,김제시완주군,145301,77497,0.5334,새누리당,정영환,6221
국회의원선거,19,20120411,김제시완주군,145301,77497,0.5334,민주통합당,최규성,41757
국회의원선거,19,20120411,김제시완주군,145301,77497,0.5334,무소속,이남기,28009
국회의원선거,19,20120411,진안군무주군장수군임실군,90072,57893,0.6427,민주통합당,박민수,27882
국회의원선거,19,20120411,진안군무주군장수군임실군,90072,57893,0.6427,무소속,한선우,3785
국회의원선거,19,20120411,진안군무주군장수군임실군,90072,57893,0.6427,무소속,이명노,24831
국회의원선거,19,20120411,고창군부안군,99797,60108,0.6023,민주통합당,김춘진,23097
국회의원선거,19,20120411,고창군부안군,99797,60108,0.6023,무소속,김만균,15782
국회의원선거,19,20120411,고창군부안군,99797,60108,0.6023,무소속,김종규,19819
