O 선거 종류,O 선거 횟수,O 투표일,O 선거구,O 전체유권자수,O 투표자 수,O 투표율,O 정당명,O 후보자명,O 득표수
국회의원선거,19,20120411,중구,183595,100359,0.5466,새누리당,정갑윤,50258
국회의원선거,19,20120411,중구,183595,100359,0.5466,민주통합당,송철호,37412
국회의원선거,19,20120411,중구,183595,100359,0.5466,진보신당,이향희,4288
국회의원선거,19,20120411,중구,183595,100359,0.5466,무소속,유태일,6122
국회의원선거,19,20120411,중구,183595,100359,0.5466,무소속,변영태,1642
국회의원선거,19,20120411,남구갑,139847,77987,0.5577,새누리당,이채익,40687
국회의원선거,19,20120411,남구갑,139847,77987,0.5577,민주통합당,심규명,27913
국회의원선거,19,20120411,남구갑,139847,77987,0.5577,무소속,김헌득,8832
국회의원선거,19,20120411,남구을,125773,67690,0.5382,새누리당,김기현,38054
국회의원선거,19,20120411,남구을,125773,67690,0.5382,통합진보당,김진석,24364
국회의원선거,19,20120411,남구을,125773,67690,0.5382,진보신당,권진회,1122
국회의원선거,19,20120411,남구을,125773,67690,0.5382,무소속,허원현,3722
국회의원선거,19,20120411,동구,135249,80865,0.5979,새누리당,안효대,41395
국회의원선거,19,20120411,동구,135249,80865,0.5979,자유선진당,김지준,1446
국회의원선거,19,20120411,동구,135249,80865,0.5979,통합진보당,이은주,35033
국회의원선거,19,20120411,동구,135249,80865,0.5979,무소속,박정주,1165
국회의원선거,19,20120411,동구,135249,80865,0.5979,무소속,김덕웅,1274
국회의원선거,19,20120411,북구,132715,77313,0.5825,새누리당,박대동,40116
국회의원선거,19,20120411,북구,132715,77313,0.5825,통합진보당,김창현,36482
국회의원선거,19,20120411,울주군,156817,82387,0.5254,새누리당,강길부,51740
국회의원선거,19,20120411,울주군,156817,82387,0.5254,통합진보당,이선호,29536
